student_id,student_number,gender,age,credits_earned,gpa,school,phone,dream_job
1,74-1372606,Male,20,119,2.47,Universität Köln,707-856-9988,Tax Accountant
2,76-7956477,Female,19,3,3.77,"Bourgas University ""Prof. Assen Zlatarov""",580-393-8890,Associate Professor
3,92-1385513,Female,18,101,3.68,Guru Gobind Singh Indraprastha University,577-542-6202,Administrative Assistant IV
4,78-1489862,Male,18,95,2.71,"California State University, Dominguez Hills",856-910-3755,Physical Therapy Assistant
5,03-2540883,Female,17,63,3.09,"University of Gjirokstra ""Eqerem Cabej""",149-113-4939,Assistant Manager
6,10-7525526,Female,26,39,2.91,Tshwane University of Technology,356-171-5550,Help Desk Operator
7,99-5825326,Male,22,103,3.55,Universidad Metropolitana Castro Carazo,943-121-2044,Programmer I
8,40-6084489,Male,21,30,2.75,Calumet College of St. Joseph,377-528-5667,Registered Nurse
9,06-3135307,Female,19,9,2.83,Columbia Southern University,960-756-2863,Assistant Professor
10,47-6268146,Male,17,57,2.33,St. Petersburg Institute of Arts and Restoration,652-626-3653,Chemical Engineer
11,37-1525073,Female,17,9,2.58,Suranaree University of Technology,254-745-5848,Biostatistician I
12,13-3384592,Male,23,49,3.63,Yildirim Beyazit University,655-787-0351,Community Outreach Specialist
13,14-9055832,Male,25,84,3.82,Yanbu Technical Institute,528-580-5421,Financial Analyst
14,26-1003175,Male,22,26,3.18,Fayoum University,832-769-2749,Recruiter
15,15-7661274,Female,20,43,2.18,National Pedagogical University M. Dragomanov ,434-260-4499,Registered Nurse
16,55-2246634,Female,17,78,3.75,Kiev National Economic University Named after Vadym Hetman,281-912-7926,Speech Pathologist
17,76-3499581,Female,20,80,2.8,Detroit College of Business - Flint,283-736-1998,Administrative Officer
18,41-9449701,Male,17,59,2.03,Moscow State University of Commerce,960-514-6158,Help Desk Operator
19,52-1728452,Female,20,34,2.39,St. Mary's University,682-493-6452,Sales Representative
20,76-4368496,Female,,67,3.17,NED University of Engineering and Technology Karachi,636-690-2299,Nuclear Power Engineer
21,87-2145581,Male,23,43,2.46,University of Manila,821-325-5774,Operator
