Email,Address,Avatar,Avg. Session Length,Time on App,Time on Website,Length of Membership,Annual Amount Spent
mstephenson@fernandez.com,"835 Frank Tunnel
Wrightmouth, MI 82180-9605",Violet,34.50,12.66,39.58,4.08,587.95
hduke@hotmail.com,"4547 Archer Common
Diazchester, CA 06566-8576",DarkGreen,31.93,11.11,37.27,2.66,392.20
pallen@yahoo.com,"24645 Valerie Unions Suite 582
Cobbborough, DC 99414-7564",Bisque,33.00,11.33,37.11,4.10,487.55
riverarebecca@gmail.com,"1414 David Throughway
Port Jason, OH 22070-1220",SaddleBrown,34.31,13.72,36.72,3.12,581.85
mstephens@davidson-herman.com,"14023 Rodriguez Passage
Port Jacobville, PR 37242-1057",MediumAquaMarine,33.33,12.80,37.54,4.45,599.41
alvareznancy@lucas.biz,"645 Martha Park Apt. 611
Jeffreychester, MN 67218-7250",FloralWhite,33.87,12.03,34.48,5.49,637.10
katherine20@yahoo.com,"68388 Reyes Lights Suite 692
Josephbury, WV 92213-0247",DarkSlateBlue,32.02,11.37,36.68,4.69,521.57
awatkins@yahoo.com,"Unit 6538 Box 8980
DPO AP 09026-4941",Aqua,32.74,12.35,37.37,4.43,549.90
vchurch@walter-martinez.com,"860 Lee Key
West Debra, SD 97450-0495",Salmon,33.99,13.39,37.53,3.27,570.20
bonnie69@lin.biz,"PSC 2734, Box 5255
APO AA 98456-7482",Brown,31.94,11.81,37.15,3.20,427.20
andrew06@peterson.com,"26104 Alexander Groves
Alexandriaport, WY 28244-9149",Tomato,33.99,13.34,37.23,2.48,492.61
ryanwerner@freeman.biz,"Unit 2413 Box 0347
DPO AA 07580-2652",Tomato,33.88,11.58,37.09,3.71,522.34
knelson@gmail.com,"6705 Miller Orchard Suite 186
Lake Shanestad, MO 75696-5051",RoyalBlue,29.53,10.96,37.42,4.05,408.64
wrightpeter@yahoo.com,"05302 Dunlap Ferry
New Stephaniehaven, MP 42268",Bisque,33.19,12.96,36.14,3.92,573.42
